timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734539555288,923,codechef,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 923 milliseconds, but should not have lasted longer than 150 milliseconds.",95977,118,2,2,https://www.codechef.com/,913,0,473
1734539556215,281,/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Size1-Regular.otf-297,200,OK,2105017_threadGroup 1-1,text,false,"The operation lasted too long: It took 281 milliseconds, but should not have lasted longer than 150 milliseconds.",6779,495,2,2,https://codeforces.com/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Size1-Regular.otf?V=2.7.9,281,0,159
1734539556499,101,/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Math-Italic.otf-298,200,OK,2105017_threadGroup 1-1,text,true,,20438,493,2,2,https://codeforces.com/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Math-Italic.otf?V=2.7.9,101,0,0
1734539556601,102,/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Main-Regular.otf-299,200,OK,2105017_threadGroup 1-1,text,true,,35603,494,2,2,https://codeforces.com/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Main-Regular.otf?V=2.7.9,102,0,0
1734539556164,577,codechef,200,OK,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 577 milliseconds, but should not have lasted longer than 150 milliseconds.",95987,118,2,2,https://www.codechef.com/,558,0,173
1734539556704,88,/cdn-cgi/rum?-300,204,No Content,2105017_threadGroup 1-1,,true,,376,1818,2,2,https://codeforces.com/cdn-cgi/rum?,0,0,0
1734539556793,77,/cdn-cgi/rum?-301,204,No Content,2105017_threadGroup 1-1,,true,,376,1249,2,2,https://codeforces.com/cdn-cgi/rum?,0,0,0
1734539556742,243,/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Size1-Regular.otf-297,200,OK,2105017_threadGroup 1-2,text,false,"The operation lasted too long: It took 243 milliseconds, but should not have lasted longer than 150 milliseconds.",6787,495,2,2,https://codeforces.com/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Size1-Regular.otf?V=2.7.9,243,0,155
1734539556986,90,/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Math-Italic.otf-298,200,OK,2105017_threadGroup 1-2,text,true,,20441,493,2,2,https://codeforces.com/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Math-Italic.otf?V=2.7.9,90,0,0
1734539557076,93,/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Main-Regular.otf-299,200,OK,2105017_threadGroup 1-2,text,true,,35608,494,3,3,https://codeforces.com/mathjax.codeforces.org/fonts/HTML-CSS/TeX/otf/MathJax_Main-Regular.otf?V=2.7.9,93,0,0
